"","Year","lowcatch","catch","CPUE","SD","biomass","pred_cpue","squared_diff","MSY","Fmsy","Bmsy","effort","u","f","FvFmsy","BvBmsy","CvMSY","lowerCPUE","lowerbiomass","upperbiomass","upperCPUE"
"1",1990,383612,997391.2,NA,NA,6575317.85527239,267.311968076697,NA,697697.45229143,0.169773682160654,4109573.65954525,3731.18797177771,0.151687146074656,0.164505779712997,0.96897103025266,1.6,1.42954685691383,175.185480426332,4309198.07189939,9620664.3690877,391.117020243222
"2",1991,249368,648356.8,NA,NA,6024453.02473891,244.91719336994,NA,697697.45229143,0.169773682160654,4109573.65954525,2647.24901947034,0.10762085741852,0.113864188972243,0.670682213657212,1.46595572286337,0.929280733175416,160.508848495969,3948183.48403294,8814667.49350739,358.350146334262
"3",1992,490567,1275474.2,NA,NA,5922313.27909906,240.764819746823,NA,697697.45229143,0.169773682160654,4109573.65954525,5297.59373209602,0.215367566673885,0.242539908658407,1.42860722328503,1.441101625066,1.82811933139643,157.787550331471,3881245.21509092,8665221.91031676,352.274608414673
"4",1993,634463,1649603.8,NA,NA,5208785.08903505,211.75715365943,NA,697697.45229143,0.169773682160654,4109573.65954525,7790.07354175653,0.316696460269125,0.38081609686216,2.24308085926887,1.26747578229598,2.36435405429997,138.777096156414,3413627.62328062,7621224.43588529,309.83209450128
"5",1994,569279,1480125.4,NA,NA,4206963.16729402,171.029238225161,NA,697697.45229143,0.169773682160654,4109573.65954525,8654.22436163462,0.351827515749809,0.43359843865087,2.55397911580055,1.02369820225087,2.12144303399541,112.085663358057,2757073.94959146,6155410.51193383,250.241119057941
"6",1995,477974,1242732.4,NA,NA,3424143.38935432,139.204602504679,NA,697697.45229143,0.169773682160654,4109573.65954525,8927.38011272454,0.362932347945376,0.450879424881852,2.65576748494618,0.833211343322954,1.78119096740073,91.2290809229382,2244045.44633248,5010029.17664178,203.676961145828
"7",1996,259086,673623.6,NA,NA,2859699.57577057,116.257789894426,NA,697697.45229143,0.169773682160654,4109573.65954525,5794.22334289788,0.235557471039064,0.268608431113813,1.58215588950726,0.6958628346102,0.965495284220453,76.1906656200107,1874131.74075545,4184164.2366917,170.102373981714
"8",1997,192736,501113.6,NA,NA,2819236.82161896,114.612823265566,NA,697697.45229143,0.169773682160654,4109573.65954525,4372.22978827494,0.177747962199299,0.195708315593511,1.15276003384503,0.6860168609147,0.718239114037475,75.1126208499412,1847614.08396506,4124961.23149716,167.695544048479
"9",1998,335749,872947.4,NA,NA,2947037.88338314,119.808428116072,NA,697697.45229143,0.169773682160654,4109573.65954525,7286.19358192625,0.296211801321629,0.351277822239825,2.06909467809867,0.717115235673681,1.2511832989113,78.5176106765851,1931369.74430919,4311953.12273483,175.297483842316
"10",1999,360247,936642.2,NA,NA,2715955.54134704,110.414041867823,NA,697697.45229143,0.169773682160654,4109573.65954525,8482.99893886016,0.34486654355743,0.422916313807157,2.49105932335825,0.66088498865052,1.3424761648818,72.3609089020578,1779927.69927505,3973845.41398437,161.552104677792
"11",2000,306400,796640,NA,NA,2396776.29065571,97.4381773469721,NA,697697.45229143,0.169773682160654,4109573.65954525,8175.85079781622,0.332379789931106,0.404035814931135,2.37984951371204,0.583217746952596,1.14181296976736,63.8570507456584,1570750.49416602,3506838.87345404,142.566492088165
"12",2001,274837,714576.2,NA,NA,2176638.50011125,88.4887292238961,NA,697697.45229143,0.169773682160654,4109573.65954525,8075.33576611733,0.328293467180461,0.397933740957091,2.34390711147169,0.529650684093617,1.02419207301551,57.9919434694224,1426481.06667276,3184744.6653265,129.4721233328
"13",2002,344300,895180,NA,NA,2005409.20624849,81.5275996568842,NA,697697.45229143,0.169773682160654,4109573.65954525,10980.0853179468,0.446382711922725,0.59128164670299,3.48276387233841,0.487984733304526,1.28304897353428,53.4298999654181,1314264.29492013,2934210.83522601,119.286959258906
"14",2003,286046,743719.6,NA,NA,1625018.55027245,66.0632560122032,NA,697697.45229143,0.169773682160654,4109573.65954525,11257.6891436084,0.457668375462733,0.611877611258668,3.60407810840586,0.395422660571626,1.06596290062035,43.2951929773118,1064971.60407536,2377642.93830707,96.6603329621383
"15",2004,212074,551392.4,NA,NA,1323978.38388772,53.8248150550238,NA,697697.45229143,0.169773682160654,4109573.65954525,10244.204265938,0.416466315998977,0.538653101413515,3.17277150709258,0.32216927924203,0.790303014851317,35.2746124766376,867682.023084358,1937176.56601154,78.7536803194058
"16",2005,171684,446378.4,NA,NA,1149723.2118508,46.7406718987531,NA,697697.45229143,0.169773682160654,4109573.65954525,9550.10661735712,0.388248576178111,0.491429249204952,2.89461383502256,0.279767028674704,0.639787917433224,30.631950828641,753482.212841286,1682215.42776017,68.388529135969
"17",2006,180282,468733.2,NA,NA,1039121.80436622,42.2442991670453,NA,697697.45229143,0.169773682160654,4109573.65954525,11095.7740864987,0.451085905454453,0.59981332595391,3.53301712209032,0.25285391878855,0.671828739607048,27.685209525408,680998.512072389,1520389.17942075,61.8096695458744
"18",2007,94463,245603.8,33.6,30.1122898498271,878612.314902639,35.7189708912281,-0.621789429951943,697697.45229143,0.169773682160654,4109573.65954525,6876.00437168014,0.279536031801712,0.327859874233341,1.93115841077825,0.213796463499784,0.352020491394042,23.4087726072878,575807.067682611,1285540.01164333,52.2621473391089
"19",2008,70928,184412.8,32.9402985074627,39.656433845772,899448.008211541,36.566021985523,-0.536463885408889,697697.45229143,0.169773682160654,4109573.65954525,5043.28308047869,0.205028860274743,0.229449467219128,1.35150197780363,0.21886650118131,0.264316286944058,23.9638957241739,589461.940558667,1316025.7184387,53.5015086081835
"20",2009,102871,267464.6,58.9454545454545,71.3606952148647,987018.924902282,40.1261166611153,1.09525782320341,697697.45229143,0.169773682160654,4109573.65954525,6665.59892298748,0.270982240818209,0.316057186252658,1.86163828356847,0.240175503998997,0.383353270277214,26.297038159188,646852.386718714,1444154.94603177,58.7104546621885
"21",2010,90751,235952.6,38.0731707317073,29.0821167076113,1014447.82927326,41.2412071511839,-0.590245691217468,697697.45229143,0.169773682160654,4109573.65954525,5721.2825787333,0.232592148350334,0.264736869726102,1.55935164011808,0.246849895710474,0.338187561420881,27.0278234832684,664828.184152589,1484287.49760924,60.3419972860193
"22",2011,132371,344164.6,32.2555555555556,28.5934545472616,1080434.21168349,43.9238074659654,0.469146848319973,697697.45229143,0.169773682160654,4109573.65954525,7835.49104359128,0.318542856453736,0.383521915301627,2.25901865601705,0.262906642194863,0.493286307510037,28.785891512613,708072.997272278,1580835.35310038,64.2670390608784
"23",2012,310299,806777.4,50.9558823529412,47.6640819263558,1054903.42069921,42.8858825876888,-0.31226907751667,697697.45229143,0.169773682160654,4109573.65954525,18812.1906632184,0.764787926713947,1.44726773227658,8.52468836074992,0.256694126469543,1.15634276340027,28.1056774176154,691341.146781534,1543480.02267477,62.7484011616903
"24",2013,87930,228618,22.563829787234,20.3493988237207,560343.103801177,22.7801029809064,-0.665250398850882,697697.45229143,0.169773682160654,4109573.65954525,10035.8633229894,0.407996455116755,0.524242656137604,3.08789118234193,0.136350665597556,0.327674981826515,14.9291605369737,367226.265809491,819864.993884874,33.330666272935
