Year,meanprice,cpi,corrected,dollars
1990,129.384359,8.554415974,1744.398677,3.4
1991,238.1875,11.0103307,2495.013717,4.9
1992,287.2584615,13.40928955,2470.707858,4.8
1993,297.7069231,14.72091202,2332.429641,4.6
1994,332.1425,16.71327634,2292.013605,4.5
1995,364.0876923,20.58895755,2039.510638,4.0
1996,472.5208333,24.19665652,2252.267327,4.4
1997,465.2866667,27.39822984,1958.630161,3.8
1998,530.0783333,30.59453294,1998.253399,3.9
1999,565.3083333,33.66802416,1936.520471,3.8
2000,630.71,37.36898989,1946.581955,3.8
2001,669.0157143,41.56439724,1856.389772,3.6
2002,699.7793333,45.37369768,1778.735096,3.5
2003,747.2007143,49.66040718,1735.327053,3.4
2004,842.5230769,55.77610168,1742.159779,3.4
2005,979.0471429,63.4720744,1778.997129,3.5
2006,1362.751667,70.75265819,2221.407817,4.3
2007,1533.960714,77.37321888,2286.535284,4.5
2008,2340.488333,87.75930176,3075.867734,6.0
2009,2341.99,94.64298855,2853.980002,5.6
2010,1499.48,100,1729.398239,3.4
2011,1682.25,104.8830125,1849.863652,3.6
2012,1658.68,109.6070144,1745.334185,3.4
2013,1729.16,115.3331981,1729.16,3.4